order_id,flag,order_date,order_date_new,ship_date,ship_date_new,ship_mode,customer_name,segment,state,country,market,region,product_id,category,sub_category,product_name,sales,quantity,discount,discount_flag,profit,shipping_cost,order_priority,year
ID-2011-80230,12-08-2022,01-03-2011,2011-01-03,01-09-2011,2011-01-09,Standard Class,Ken Lonsdale,Consumer,Auckland,New Zealand,APAC,Oceania,FUR-CH-10000214,Furniture,Chairs,"Hon Rocking Chair, Set of Two",159,2,0.4,yes,-95.676,10.07,Low,2011
MX-2011-160234,12-08-2022,01-03-2011,2011-01-03,01-07-2011,2011-01-07,Standard Class,Stewart Visinsky,Consumer,Guatemala,Guatemala,LATAM,Central,TEC-PH-10002647,Technology,Phones,"Nokia Headset, VoIP",195,4,0,no,44.88,8.43,Medium,2011
IR-2011-770,12-08-2022,01-03-2011,2011-01-03,01-07-2011,2011-01-07,Standard Class,Jas O'Carroll,Consumer,Yazd,Iran,EMEA,EMEA,OFF-BRE-10003081,Office Supplies,Appliances,"Breville Coffee Grinder, Black",123,2,0,no,42.9,8.41,Medium,2011
ID-2011-80230,12-08-2022,01-03-2011,2011-01-03,01-09-2011,2011-01-09,Standard Class,Ken Lonsdale,Consumer,Auckland,New Zealand,APAC,Oceania,TEC-AC-10002881,Technology,Accessories,"Belkin Numeric Keypad, Bluetooth",69,2,0.4,yes,3.42,8.34,Low,2011
ID-2011-80230,12-08-2022,01-03-2011,2011-01-03,01-09-2011,2011-01-09,Standard Class,Ken Lonsdale,Consumer,Auckland,New Zealand,APAC,Oceania,FUR-CH-10000666,Furniture,Chairs,"SAFCO Chairmat, Black",69,2,0.4,yes,-26.412,8.17,Low,2011
ID-2011-12596,12-08-2022,01-03-2011,2011-01-03,01-08-2011,2011-01-08,Standard Class,Chris McAfee,Consumer,Nakhon Ratchasima,Thailand,APAC,Southeast Asia,OFF-ST-10002066,Office Supplies,Storage,"Smead File Cart, Blue",135,2,0.47,yes,-45.9018,7.74,Medium,2011
IN-2011-79397,12-08-2022,01-03-2011,2011-01-03,01-03-2011,2011-01-03,Same Day,Kean Nguyen,Corporate,New South Wales,Australia,APAC,Oceania,OFF-LA-10003396,Office Supplies,Labels,"Avery Color Coded Labels, Laser Printer Compatible",36,3,0.1,yes,4.743,7.46,Critical,2011
IR-2011-7690,12-08-2022,01-03-2011,2011-01-03,01-08-2011,2011-01-08,Second Class,Nat Gilpin,Corporate,Razavi Khorasan,Iran,EMEA,EMEA,OFF-BIC-10000582,Office Supplies,Art,"BIC Sketch Pad, Water Color",52,1,0,no,7.77,5.91,High,2011
IR-2011-770,12-08-2022,01-03-2011,2011-01-03,01-07-2011,2011-01-07,Standard Class,Jas O'Carroll,Consumer,Yazd,Iran,EMEA,EMEA,OFF-ROG-10004393,Office Supplies,Storage,"Rogers Folders, Industrial",62,2,0,no,8.7,5.16,Medium,2011
TZ-2011-7370,12-08-2022,01-03-2011,2011-01-03,01-08-2011,2011-01-08,Standard Class,Jack Garza,Consumer,Dar Es Salaam,Tanzania,Africa,Africa,OFF-STI-10000388,Office Supplies,Supplies,"Stiletto Scissors, Serrated",81,4,0,no,26.76,5.11,Medium,2011
IZ-2011-4680,12-08-2022,01-03-2011,2011-01-03,01-07-2011,2011-01-07,Standard Class,Lindsay Williams,Corporate,Ninawa,Iraq,EMEA,EMEA,OFF-CAM-10004338,Office Supplies,Envelopes,"Cameo Interoffice Envelope, Set of 50",47,1,0,no,17.07,3.57,High,2011
IN-2011-65159,12-08-2022,01-03-2011,2011-01-03,01-07-2011,2011-01-07,Second Class,Larry Blacks,Consumer,National Capital,Philippines,APAC,Southeast Asia,OFF-FA-10002569,Office Supplies,Fasteners,"Stockwell Staples, Metal",6,1,0.45,yes,0.546,0.8,High,2011
IR-2011-770,12-08-2022,01-03-2011,2011-01-03,01-07-2011,2011-01-07,Standard Class,Jas O'Carroll,Consumer,Yazd,Iran,EMEA,EMEA,OFF-ADV-10000213,Office Supplies,Fasteners,"Advantus Rubber Bands, Metal",17,1,0,no,4.17,0.54,Medium,2011
MX-2011-111255,12-08-2022,01-04-2011,2011-01-04,01-09-2011,2011-01-09,Second Class,Russell Applegate,Consumer,Parana,Brazil,LATAM,South,FUR-BO-10001498,Furniture,Bookcases,"Dania Classic Bookcase, Pine",1648,6,0,no,609.84,109.13,Medium,2011
MX-2011-140641,12-08-2022,01-04-2011,2011-01-04,01-09-2011,2011-01-09,Standard Class,Maya Herman,Corporate,Yucat n,Mexico,LATAM,North,TEC-AC-10001082,Technology,Accessories,"Enermax Keyboard, Bluetooth",223,4,0,no,13.28,42.28,High,2011
MX-2011-158771,12-08-2022,01-04-2011,2011-01-04,01-11-2011,2011-01-11,Standard Class,Beth Thompson,Home Office,Granma,Cuba,LATAM,Caribbean,OFF-EN-10000857,Office Supplies,Envelopes,"Jiffy Interoffice Envelope, Set of 50",186,6,0,no,3.6,16.39,Medium,2011
ES-2011-4939443,12-08-2022,01-04-2011,2011-01-04,01-08-2011,2011-01-08,Standard Class,Arthur Prichep,Consumer,Rhne-Alpes,France,EU,Central,OFF-AR-10001546,Office Supplies,Art,"Binney & Smith Sketch Pad, Easy-Erase",140,3,0,no,20.88,10.78,Medium,2011
MX-2011-111255,12-08-2022,01-04-2011,2011-01-04,01-09-2011,2011-01-09,Second Class,Russell Applegate,Consumer,Parana,Brazil,LATAM,South,OFF-SU-10003629,Office Supplies,Supplies,"Fiskars Letter Opener, Easy Grip",149,8,0,no,28.16,10.38,Medium,2011
MX-2011-140641,12-08-2022,01-04-2011,2011-01-04,01-09-2011,2011-01-09,Standard Class,Maya Herman,Corporate,Yucat n,Mexico,LATAM,North,TEC-CO-10002998,Technology,Copiers,"Sharp Ink, Laser",166,2,0.002,yes,49.42824,9.54,High,2011
US-2011-136007,12-08-2022,01-04-2011,2011-01-04,01-11-2011,2011-01-11,Standard Class,Beth Thompson,Home Office,Alagoas,Brazil,LATAM,South,OFF-EN-10004956,Office Supplies,Envelopes,"Jiffy Interoffice Envelope, Set of 50",74,6,0.6,yes,-107.856,7.04,Medium,2011
MX-2011-159373,12-08-2022,01-04-2011,2011-01-04,01-08-2011,2011-01-08,Standard Class,Arthur Wiediger,Home Office,Santiago de Cuba,Cuba,LATAM,Caribbean,FUR-CH-10004827,Furniture,Chairs,"SAFCO Chairmat, Black",38,1,0,no,6.88,4.25,Medium,2011
MX-2011-159373,12-08-2022,01-04-2011,2011-01-04,01-08-2011,2011-01-08,Standard Class,Arthur Wiediger,Home Office,Santiago de Cuba,Cuba,LATAM,Caribbean,TEC-AC-10003081,Technology,Accessories,"Memorex Mouse, USB",38,2,0,no,2.24,3.94,Medium,2011
MX-2011-159373,12-08-2022,01-04-2011,2011-01-04,01-08-2011,2011-01-08,Standard Class,Arthur Wiediger,Home Office,Santiago de Cuba,Cuba,LATAM,Caribbean,OFF-EN-10002816,Office Supplies,Envelopes,"Kraft Peel and Seal, Recycled",39,3,0,no,7.68,3.51,Medium,2011
IT-2011-2942451,12-08-2022,01-04-2011,2011-01-04,01-09-2011,2011-01-09,Standard Class,Grant Thornton,Corporate,England,United Kingdom,EU,North,OFF-AR-10002485,Office Supplies,Art,Boston Markers  Easy-Erase,27,2,0.5,yes,-21.9,2.11,Medium,2011
CA-2011-103800,12-08-2022,01-04-2011,2011-01-04,01-08-2011,2011-01-08,Standard Class,Darren Powers,Consumer,Texas,United States,US,Central,OFF-PA-10000174,Office Supplies,Paper,"Message Book, Wirebound, Four 5 1/2 X 4"" Forms/Pg.",16,2,0.2,yes,5.5512,1.82,High,2011
IN-2011-33036,12-08-2022,01-04-2011,2011-01-04,01-08-2011,2011-01-08,Standard Class,Bradley Drucker,Consumer,Tottori,Japan,APAC,North Asia,OFF-LA-10000784,Office Supplies,Labels,"Harbour Creations File Folder Labels, 5000 Label Set",27,3,0,no,13.68,1.54,Medium,2011
IT-2011-2942451,12-08-2022,01-04-2011,2011-01-04,01-09-2011,2011-01-09,Standard Class,Grant Thornton,Corporate,England,United Kingdom,EU,North,OFF-ST-10001426,Office Supplies,Storage,"Eldon Folders, Single Width",17,2,0.5,yes,-1.05,0.9,Medium,2011
SU-2011-5190,12-08-2022,01-04-2011,2011-01-04,01-08-2011,2011-01-08,Standard Class,Jasper Cacioppo,Consumer,Khartoum,Sudan,Africa,Africa,OFF-BOS-10004950,Office Supplies,Art,"Boston Pens, Fluorescent",15,1,0,no,2.61,0.82,Medium,2011
SU-2011-5190,12-08-2022,01-04-2011,2011-01-04,01-08-2011,2011-01-08,Standard Class,Jasper Cacioppo,Consumer,Khartoum,Sudan,Africa,Africa,OFF-AVE-10003279,Office Supplies,Binders,"Avery Hole Reinforcements, Durable",6,1,0,no,2.1,0.51,Medium,2011
MX-2011-109267,12-08-2022,01-05-2011,2011-01-05,01-09-2011,2011-01-09,Standard Class,Jennifer Halladay,Consumer,Veracruz,Mexico,LATAM,North,OFF-AP-10004245,Office Supplies,Appliances,"Hoover Stove, Black",3029,8,0,no,999.36,191.2,Medium,2011
ES-2011-3848439,12-08-2022,01-05-2011,2011-01-05,01-07-2011,2011-01-07,First Class,Michael Granlund,Home Office,Rhne-Alpes,France,EU,Central,OFF-AR-10001291,Office Supplies,Art,"Sanford Canvas, Fluorescent",207,4,0,no,76.56,20.64,Medium,2011
ES-2011-3848439,12-08-2022,01-05-2011,2011-01-05,01-07-2011,2011-01-07,First Class,Michael Granlund,Home Office,Rhne-Alpes,France,EU,Central,OFF-AR-10000833,Office Supplies,Art,"Binney & Smith Pencil Sharpener, Water Color",90,3,0,no,20.52,15.27,Medium,2011
CA-2011-112326,12-08-2022,01-05-2011,2011-01-05,01-09-2011,2011-01-09,Standard Class,Phillina Ober,Home Office,Illinois,United States,US,Central,OFF-ST-10002743,Office Supplies,Storage,SAFCO Boltless Steel Shelving,273,3,0.2,yes,-64.7748,13.59,High,2011
IN-2011-27681,12-08-2022,01-05-2011,2011-01-05,01-11-2011,2011-01-11,Standard Class,Shaun Weien,Consumer,Taipei City,Taiwan,APAC,North Asia,FUR-FU-10000394,Furniture,Furnishings,"Rubbermaid Photo Frame, Durable",49,1,0,no,22.92,5.82,Low,2011
CA-2011-112326,12-08-2022,01-05-2011,2011-01-05,01-09-2011,2011-01-09,Standard Class,Phillina Ober,Home Office,Illinois,United States,US,Central,OFF-LA-10003223,Office Supplies,Labels,Avery 508,12,3,0.2,yes,4.2717,0.99,High,2011
CA-2011-112326,12-08-2022,01-05-2011,2011-01-05,01-09-2011,2011-01-09,Standard Class,Phillina Ober,Home Office,Illinois,United States,US,Central,OFF-BI-10004094,Office Supplies,Binders,GBC Standard Plastic Binding Systems Combs,4,2,0.8,yes,-5.487,0.55,High,2011
ES-2011-5496179,12-08-2022,01-06-2011,2011-01-06,01-09-2011,2011-01-09,Second Class,Shahid Hopkins,Consumer,Ile-de-France,France,EU,Central,FUR-FU-10000468,Furniture,Furnishings,"Advantus Frame, Durable",324,3,0,no,35.64,39.98,High,2011
IN-2011-29963,12-08-2022,01-06-2011,2011-01-06,01-10-2011,2011-01-10,Standard Class,Brosina Hoffman,Consumer,Sumatera Barat,Indonesia,APAC,Southeast Asia,OFF-ST-10000344,Office Supplies,Storage,"Fellowes Box, Industrial",50,3,0.17,yes,6.0084,6.2,High,2011
ID-2011-41632,12-08-2022,01-06-2011,2011-01-06,1/13/2011,2011-01-13,Standard Class,Robert Dilbeck,Home Office,Ho Ch¡ Minh City,Vietnam,APAC,Southeast Asia,OFF-ST-10001631,Office Supplies,Storage,"Tenex Trays, Blue",90,2,0.17,yes,29.2686,3.62,Medium,2011
IN-2011-29963,12-08-2022,01-06-2011,2011-01-06,01-10-2011,2011-01-10,Standard Class,Brosina Hoffman,Consumer,Sumatera Barat,Indonesia,APAC,Southeast Asia,OFF-FA-10000549,Office Supplies,Fasteners,"Advantus Staples, Metal",41,7,0.47,yes,-27.0942,2.63,High,2011
ID-2011-41632,12-08-2022,01-06-2011,2011-01-06,1/13/2011,2011-01-13,Standard Class,Robert Dilbeck,Home Office,Ho Ch¡ Minh City,Vietnam,APAC,Southeast Asia,OFF-PA-10003407,Office Supplies,Paper,"Enermax Memo Slips, Recycled",39,3,0.17,yes,11.5893,2.45,Medium,2011
AO-2011-4910,12-08-2022,01-06-2011,2011-01-06,01-11-2011,2011-01-11,Standard Class,Grace Kelly,Corporate,Luanda,Angola,Africa,Africa,TEC-LOG-10003079,Technology,Accessories,"Logitech Flash Drive, Erganomic",28,1,0,no,12.72,2,Medium,2011
IN-2011-76107,12-08-2022,01-06-2011,2011-01-06,01-10-2011,2011-01-10,Standard Class,Khloe Miller,Consumer,Jilin,China,APAC,North Asia,OFF-EN-10002166,Office Supplies,Envelopes,"Cameo Manila Envelope, with clear poly window",31,1,0,no,13.11,1.96,High,2011
CA-2011-141817,12-08-2022,01-06-2011,2011-01-06,1/13/2011,2011-01-13,Standard Class,Mick Brown,Consumer,Pennsylvania,United States,US,East,OFF-AR-10003478,Office Supplies,Art,"Avery Hi-Liter EverBold Pen Style Fluorescent Highlighters, 4/Pack",20,3,0.2,yes,4.884,1.85,Low,2011
CA-2011-167199,12-08-2022,01-07-2011,2011-01-07,01-11-2011,2011-01-11,Standard Class,Maria Etezadi,Home Office,Kentucky,United States,US,South,FUR-CH-10004063,Furniture,Chairs,Global Deluxe High-Back Manager's Chair,2574,9,0,no,746.4078,258.99,High,2011
CA-2011-167199,12-08-2022,01-07-2011,2011-01-07,01-11-2011,2011-01-11,Standard Class,Maria Etezadi,Home Office,Kentucky,United States,US,South,OFF-BI-10004632,Office Supplies,Binders,Ibico Hi-Tech Manual Binding System,610,2,0,no,274.491,88.07,High,2011
CA-2011-167199,12-08-2022,01-07-2011,2011-01-07,01-11-2011,2011-01-11,Standard Class,Maria Etezadi,Home Office,Kentucky,United States,US,South,TEC-PH-10004977,Technology,Phones,GE 30524EE4,392,2,0,no,113.6742,62.37,High,2011
MZ-2011-1260,12-08-2022,01-07-2011,2011-01-07,01-10-2011,2011-01-10,First Class,Stewart Visinsky,Consumer,Niassa,Mozambique,Africa,Africa,OFF-ELD-10001694,Office Supplies,Storage,"Eldon File Cart, Single Width",256,2,0,no,46.02,52.46,High,2011
ID-2011-58670,12-08-2022,01-07-2011,2011-01-07,01-11-2011,2011-01-11,Standard Class,Maribeth Schnelling,Consumer,National Capital,Philippines,APAC,Southeast Asia,TEC-MA-10000868,Technology,Machines,"Panasonic Phone, Wireless",445,7,0.25,yes,-136.71,46.97,High,2011
ID-2011-58670,12-08-2022,01-07-2011,2011-01-07,01-11-2011,2011-01-11,Standard Class,Maribeth Schnelling,Consumer,National Capital,Philippines,APAC,Southeast Asia,TEC-AC-10003413,Technology,Accessories,"Logitech Router, Programmable",274,2,0.45,yes,-44.838,42.19,High,2011
ES-2011-5433855,12-08-2022,01-07-2011,2011-01-07,01-08-2011,2011-01-08,First Class,Dave Poirier,Corporate,Provence-Alpes-Cte d'Azur,France,EU,Central,OFF-ST-10004855,Office Supplies,Storage,"Smead Lockers, Industrial",716,4,0.1,yes,143.16,32.46,Medium,2011
ID-2011-58670,12-08-2022,01-07-2011,2011-01-07,01-11-2011,2011-01-11,Standard Class,Maribeth Schnelling,Consumer,National Capital,Philippines,APAC,Southeast Asia,TEC-MA-10004482,Technology,Machines,"Panasonic Card Printer, White",388,3,0.25,yes,25.8075,26.2,High,2011
LE-2011-9590,12-08-2022,01-07-2011,2011-01-07,01-11-2011,2011-01-11,Standard Class,Harry Marie,Corporate,Beirut,Lebanon,EMEA,EMEA,TEC-HP -10000464,Technology,Copiers,"HP Fax and Copier, Color",174,1,0,no,71.46,23.84,High,2011
CA-2011-167199,12-08-2022,01-07-2011,2011-01-07,01-11-2011,2011-01-11,Standard Class,Maria Etezadi,Home Office,Kentucky,United States,US,South,TEC-PH-10004539,Technology,Phones,Wireless Extenders zBoost YX545 SOHO Signal Booster,756,4,0,no,204.1092,13.82,High,2011
MZ-2011-1260,12-08-2022,01-07-2011,2011-01-07,01-10-2011,2011-01-10,First Class,Stewart Visinsky,Consumer,Niassa,Mozambique,Africa,Africa,OFF-STA-10004885,Office Supplies,Art,"Stanley Sketch Pad, Easy-Erase",45,1,0,no,8.49,13.7,High,2011
ES-2011-5433855,12-08-2022,01-07-2011,2011-01-07,01-08-2011,2011-01-08,First Class,Dave Poirier,Corporate,Provence-Alpes-Cte d'Azur,France,EU,Central,OFF-FA-10002071,Office Supplies,Fasteners,"Accos Thumb Tacks, Assorted Sizes",33,3,0,no,2.25,9.73,Medium,2011
ES-2011-5433855,12-08-2022,01-07-2011,2011-01-07,01-08-2011,2011-01-08,First Class,Dave Poirier,Corporate,Provence-Alpes-Cte d'Azur,France,EU,Central,FUR-BO-10000265,Furniture,Bookcases,"Bush Floating Shelf Set, Pine",155,1,0.1,yes,36.228,5.72,Medium,2011
CA-2011-130813,12-08-2022,01-07-2011,2011-01-07,01-09-2011,2011-01-09,Second Class,Lycoris Saunders,Consumer,California,United States,US,West,OFF-PA-10002005,Office Supplies,Paper,Xerox 225,19,3,0,no,9.3312,4.37,High,2011
AG-2011-7230,12-08-2022,01-07-2011,2011-01-07,01-11-2011,2011-01-11,Standard Class,Alyssa Crouse,Corporate,Alger,Algeria,Africa,Africa,OFF-STA-10000244,Office Supplies,Art,"Stanley Sketch Pad, Fluorescent",91,2,0,no,14.58,4.36,Medium,2011
MX-2011-135629,12-08-2022,01-07-2011,2011-01-07,01-07-2011,2011-01-07,Same Day,Dorothy Dickinson,Consumer,S?o Paulo,Brazil,LATAM,South,OFF-FA-10001871,Office Supplies,Fasteners,"Stockwell Rubber Bands, Bulk Pack",43,4,0,no,6,3.94,High,2011
MX-2011-135629,12-08-2022,01-07-2011,2011-01-07,01-07-2011,2011-01-07,Same Day,Dorothy Dickinson,Consumer,S?o Paulo,Brazil,LATAM,South,OFF-BI-10000136,Office Supplies,Binders,"Ibico Index Tab, Durable",19,3,0,no,2.4,3.69,High,2011
CA-2011-106054,12-08-2022,01-07-2011,2011-01-07,01-08-2011,2011-01-08,First Class,Jack O'Briant,Corporate,Georgia,United States,US,South,OFF-AR-10002399,Office Supplies,Art,"Dixon Prang Watercolor Pencils, 10-Color Set with Brush",13,3,0,no,5.2398,3.51,Critical,2011
ID-2011-58670,12-08-2022,01-07-2011,2011-01-07,01-11-2011,2011-01-11,Standard Class,Maribeth Schnelling,Consumer,National Capital,Philippines,APAC,Southeast Asia,OFF-AR-10003684,Office Supplies,Art,"BIC Sketch Pad, Fluorescent",27,1,0.45,yes,-4.494,3.21,High,2011
LE-2011-9590,12-08-2022,01-07-2011,2011-01-07,01-11-2011,2011-01-11,Standard Class,Harry Marie,Corporate,Beirut,Lebanon,EMEA,EMEA,FUR-ADV-10000847,Furniture,Furnishings,"Advantus Stacking Tray, Black",26,1,0,no,7.38,2.88,High,2011
CA-2011-167199,12-08-2022,01-07-2011,2011-01-07,01-11-2011,2011-01-11,Standard Class,Maria Etezadi,Home Office,Kentucky,United States,US,South,OFF-FA-10001883,Office Supplies,Fasteners,"Alliance Super-Size Bands, Assorted Sizes",31,4,0,no,0.3112,2.19,High,2011
CA-2011-167199,12-08-2022,01-07-2011,2011-01-07,01-11-2011,2011-01-11,Standard Class,Maria Etezadi,Home Office,Kentucky,United States,US,South,OFF-PA-10000955,Office Supplies,Paper,Southworth 25% Cotton Granite Paper & Envelopes,7,1,0,no,3.0084,1.13,High,2011
ID-2011-28752,12-08-2022,01-07-2011,2011-01-07,01-12-2011,2011-01-12,Standard Class,Adam Bellavance,Home Office,Singapore,Singapore,APAC,Southeast Asia,OFF-LA-10002875,Office Supplies,Labels,"Novimex Shipping Labels, Adjustable",18,2,0,no,5.46,0.89,Medium,2011
CA-2011-167199,12-08-2022,01-07-2011,2011-01-07,01-11-2011,2011-01-11,Standard Class,Maria Etezadi,Home Office,Kentucky,United States,US,South,OFF-AR-10001662,Office Supplies,Art,Rogers Handheld Barrel Pencil Sharpener,5,2,0,no,1.4796,0.52,High,2011
IT-2011-5134922,12-08-2022,01-07-2011,2011-01-07,01-10-2011,2011-01-10,First Class,Joy Smith,Consumer,Groningen,Netherlands,EU,Central,OFF-AR-10000316,Office Supplies,Art,"Stanley Pens, Blue",5,1,0.5,yes,-0.105,0.28,Medium,2011
AO-2011-1670,12-08-2022,01-08-2011,2011-01-08,1/13/2011,2011-01-13,Standard Class,Henia Zydlo,Consumer,Benguela,Angola,Africa,Africa,FUR-IKE-10001539,Furniture,Bookcases,"Ikea Classic Bookcase, Pine",2479,6,0,no,49.5,349.87,High,2011
IN-2011-19330,12-08-2022,01-08-2011,2011-01-08,01-12-2011,2011-01-12,Second Class,Nicole Fjeld,Home Office,Yunnan,China,APAC,North Asia,TEC-MA-10002468,Technology,Machines,"Panasonic Inkjet, White",2174,7,0,no,260.82,275.52,Medium,2011
IT-2011-4546695,12-08-2022,01-08-2011,2011-01-08,1/14/2011,2011-01-14,Standard Class,Darren Powers,Consumer,Midi-Pyrnes,France,EU,Central,FUR-BO-10003103,Furniture,Bookcases,"Ikea Classic Bookcase, Metal",987,6,0.6,yes,-1011.636,65.64,Medium,2011
MX-2011-121202,12-08-2022,01-08-2011,2011-01-08,1/13/2011,2011-01-13,Second Class,Christopher Martinez,Consumer,Guatemala,Guatemala,LATAM,Central,OFF-ST-10002471,Office Supplies,Storage,"Smead Lockers, Single Width",397,3,0,no,182.52,33.67,Medium,2011
CA-2011-105417,12-08-2022,01-08-2011,2011-01-08,1/13/2011,2011-01-13,Standard Class,Vivek Sundaresam,Consumer,Texas,United States,US,Central,FUR-FU-10004864,Furniture,Furnishings,"Howard Miller 14-1/2 Diameter Chrome Round Wall Clock""",77,3,0.6,yes,-53.7096,6.69,Medium,2011
MX-2011-121202,12-08-2022,01-08-2011,2011-01-08,1/13/2011,2011-01-13,Second Class,Christopher Martinez,Consumer,Guatemala,Guatemala,LATAM,Central,OFF-BI-10002937,Office Supplies,Binders,"Wilson Jones Binder Covers, Clear",50,7,0,no,20.3,5.66,Medium,2011
IT-2011-4546695,12-08-2022,01-08-2011,2011-01-08,1/14/2011,2011-01-14,Standard Class,Darren Powers,Consumer,Midi-Pyrnes,France,EU,Central,OFF-AR-10000110,Office Supplies,Art,"Binney & Smith Sketch Pad, Blue",116,5,0.5,yes,-55.65,3.91,Medium,2011
NI-2011-4770,12-08-2022,01-08-2011,2011-01-08,01-11-2011,2011-01-11,Second Class,Joe Elijah,Consumer,Lagos,Nigeria,Africa,Africa,OFF-AVE-10000608,Office Supplies,Binders,"Avery Index Tab, Economy",5,2,0.7,yes,-4.542,0.82,High,2011
CA-2011-105417,12-08-2022,01-08-2011,2011-01-08,1/13/2011,2011-01-13,Standard Class,Vivek Sundaresam,Consumer,Texas,United States,US,Central,OFF-BI-10003708,Office Supplies,Binders,"Acco Four Pocket Poly Ring Binder with Label Holder, Smoke, ",5,2,0.7,yes,-4.542,0.82,High,2012
IN-2011-69366,12-08-2022,01-09-2011,2011-01-09,1/14/2011,2011-01-14,Standard Class,Alejandro Grove,Consumer,Kin Giang,Vietnam,APAC,Southeast Asia,TEC-AC-10000354,Technology,Accessories,"Belkin Numeric Keypad, USB",177,6,0.47,yes,-156.6792,17.09,Medium,2011
ID-2011-46483,12-08-2022,01-09-2011,2011-01-09,1/13/2011,2011-01-13,Standard Class,Sample Company A,Home Office,Calabarzon,Philippines,APAC,Southeast Asia,OFF-ST-10001342,Office Supplies,Storage,"Fellowes Trays, Blue",158,5,0.45,yes,-2.9775,10.08,High,2011
